Name,Regular Price,Sale Price,Rating,Reviews,Size,Description,Category,Image,Alcohol/Vol,Made In,Sugar Content,Varietal,By,Release Date,Lat,Lon,Savings
 Caliterra Cabernet Sauvignon,11.95,10.95,5.0,(6),  750 ml bottle ,"Ruby red colour; lifted chocolate, herbs, smoke and prune aromas; medium to full-bodied with chocolate, smoke and prune flavours; well-balanced with a medium finish.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/2/5/7/3/257329.jpg.thumb.1280.1280.jpg,0.135,  Chile ,3 g/L,Cabernet Sauvignon,Caliterra,N/A,-31.7613365,-71.3187697,1.0
 Marlborough Ridge Sauvignon Blanc,15.05,13.50,4.5,(13),  750 ml bottle ,"Marlborough wines show balance and pure flavours. A blend of fruit from Wairau Valley, showing aromas of passion fruit, with floral and crushed nettle hints. The palate delivers passion fruit, floral and herbal flavours with notes of mango and peach, with long, balanced finish. Serve with grilled fish or fresh tomato salad.",White Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/1/5/5/015513.jpg.thumb.1280.1280.jpg,0.125," Marlborough,   New Zealand ",4 g/L,Sauvignon Blanc,Marlborough Ridge,N/A,-36.7846223,174.723989,1.5500000000000007
 Bersano Costalunga Barbera D'Asti DOCG,17.00,14.00,4.6,(11),  750 ml bottle ,"Bright garnet hue; spice, smoke and plum notes are evident on the nose; light earthy, smoky, plummy fruit flavours with light leather notes and good acidity.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/3/4/8/6/348680.jpg.thumb.1280.1280.jpg,0.14," Piedmont,   Italy ",3 g/L,Barbera,Bersano,N/A,46.067065,8.378351,3.0
 La Vieille Ferme Luberon Blanc AOC,14.95,12.95,4.6,(7),  750 ml bottle ,"In 1970 Jean-Pierre Perrin of the French winemaking Perrins, applied his know-how to create a tier of value, good quality wines under this label. Aromas of fresh pastry, yellow pear, peach and honey, mirrored on the extra dry, moderate acidity palate, leading to a fresh finish. Enjoy with roast chicken or soft cheeses.",White Wine,https://aem.lcbo.com/content/dam/lcbo/products/2/9/8/5/298505.jpg.thumb.1280.1280.jpg,0.13," Rhône,   France ",2 g/L,Regional Blended White,La Vieille Ferme,N/A,45.8802348,4.564533629559522,2.0
 Bread & Butter Pinot Noir,19.95,17.95,3.4,(28),  750 ml bottle ,"Based in California's Napa Valley, Bread & Butter makes easy-going and approachable wines for everyday occasions year round. This pinot noir shows generous fruit with notes of oak toast, mixed berries and red plum. Floral and nutty hints grace a long, silky finish. Serve with grilled salmon, duck breast or mushroom risotto.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/1/3/6/013686.jpg.thumb.1280.1280.jpg,0.135," California,   United States ",7 g/L,Pinot Noir,Bread & Butter,N/A,36.7014631,-118.755997,2.0
 Cusumano Nero D'Avola Sicilia DOC,13.95,11.95,4.8,(9),  750 ml bottle ,"deep ruby colour; dark fruit with coffee and spice aromas; dry, medium body; cherry and plum flavours with balanced acidity; ripe tannins in soft medium length finish",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/1/4/3/1/143164.jpg.thumb.1280.1280.jpg,0.135," Sicily,   Italy ",2 g/L,Nero d'Avola,Cusumano,N/A,37.587794,14.155048,2.0
 Juliet Prosecco Rose DOC,16.95,14.95,5.0,(5),  750 ml bottle ,"A delightful prosecco rosé showcasing aromas and flavours of red cherry, raspberry, passion fruit, and white flower. The medium-bodied and flavourful palate makes way for a crisp, clean finish. Pair with watermelon and Feta salad or enjoy as a pre-dinner delight.",Rosé & Red Sparkling Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/2/0/9/020979.jpg.thumb.1280.1280.jpg,0.115," Veneto,   Italy ",13 g/L,Sparkling Rose,Colli Vicentini,N/A,45.6476663,11.8665254,2.0
 Smoky Bay Shiraz,12.30,11.30,4.9,(7),  750 ml bottle ,"This sizzling shiraz from Australia bursts with aromas and flavours of black cherry, blackberry jam, cranberry, a touch of mint and toasty oak. It's medium-bodied and fruity with a silky finish. Pairs nicely with pepperoni pizza or beef stew with a side of mashed potatoes topped with crumbled peppercorn bacon.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/1/7/6/017650.jpg.thumb.1280.1280.jpg,0.13,  Australia ,10 g/L,Syrah/Shiraz,Smoky Bay,N/A,-24.7761086,134.755,1.0
 Fiol Prosecco DOC,19.05,16.05,5.0,(3),  750 ml bottle ,"Clear pale straw colour with persistent bubbles; aromas of pear, citrus and green apple with notes of white flowers and banana; dry, light to medium bodied, balanced acidity, flavours of green apple, pear and citrus, with notes of almond, bread and yeast.",White Sparkling Wine,https://aem.lcbo.com/content/dam/lcbo/products/3/9/4/5/394577.jpg.thumb.1280.1280.jpg,0.11," Veneto,   Italy ",15 g/L,Glera,Fiol,N/A,45.6476663,11.8665254,3.0
 Kim Crawford Illuminate Sauvignon Blanc,21.95,19.95,3.4,(17),  750 ml bottle ,"New Zealand is at the forefront of lower-calorie, lower-alcohol wines. This one is produced using spinning cone distillation: a gentle process that doesn't use pressure or high temperatures and so has less impact on the aroma and flavour of the final wine. This fresh, aromatic Savvy shows tropical fruit, citrus and herbs and is perfect for seafood.",White Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/1/8/9/018947.jpg.thumb.1280.1280.jpg,0.07," Marlborough,   New Zealand ",6 g/L,Sauvignon Blanc,Kim Crawford,"  April 1, 2022  ",-36.7846223,174.723989,2.0
